"concept","prefLabel","altLabels"
"http://aims.fao.org/aos/agrovoc/c_16253","Jatropha",
"http://aims.fao.org/aos/agrovoc/c_e9148a52","crop quality",
"http://aims.fao.org/aos/agrovoc/c_33775","Nardus stricta",
"http://aims.fao.org/aos/agrovoc/c_39335","Argentina sphyraena",
"http://aims.fao.org/aos/agrovoc/c_15de7dc5","CTD profilers","""conductivity-temperature-depth profilers""@en|_|""conductivity-temperature depth profilers""@en|_|""CTD probes""@en|_|""CTD sensors""@en"
"http://aims.fao.org/aos/agrovoc/c_32185b52","sulfonylurea herbicides",
"http://aims.fao.org/aos/agrovoc/c_1a92f1a8","antimicrobial susceptibility testing",
"http://aims.fao.org/aos/agrovoc/c_24786","Penaeus monodon",
"http://aims.fao.org/aos/agrovoc/c_9832","cholecalciferol",
"http://aims.fao.org/aos/agrovoc/c_44026","Eleutheronema tetradactylum",
"http://aims.fao.org/aos/agrovoc/c_29518","monoamine oxidase",
"http://aims.fao.org/aos/agrovoc/c_8960","artificial hawks",
"http://aims.fao.org/aos/agrovoc/c_45539","Parabembras curtus",
"http://aims.fao.org/aos/agrovoc/c_30802","Asterolecaniidae",
"http://aims.fao.org/aos/agrovoc/c_48521","Semele solida",
"http://aims.fao.org/aos/agrovoc/c_6c28ecf1","ziram",
"http://aims.fao.org/aos/agrovoc/c_41432","Muraenolepis marmoratus",
"http://aims.fao.org/aos/agrovoc/c_10463","drinking water","""potable water""@en"
"http://aims.fao.org/aos/agrovoc/c_d6ecb70b","temperature gradients","""adiabatic lapse rates""@en|_|""adiabatic temperature gradient""@en"
"http://aims.fao.org/aos/agrovoc/c_32056","Alternanthera pungens",
"http://aims.fao.org/aos/agrovoc/c_27582","nucleases",
"http://aims.fao.org/aos/agrovoc/c_14094","satiety",
"http://aims.fao.org/aos/agrovoc/c_15663","Rattus",
"http://aims.fao.org/aos/agrovoc/c_43692","Protomelas annectens",
"http://aims.fao.org/aos/agrovoc/c_6631","rodent control","""vermin proofing""@en"
"http://aims.fao.org/aos/agrovoc/c_6567","Rhizophoraceae",
"http://aims.fao.org/aos/agrovoc/c_45057","Hypleurochilus aequipinnis",
"http://aims.fao.org/aos/agrovoc/c_49482","Codium arabicum",
"http://aims.fao.org/aos/agrovoc/c_325cb76a","biochemical composition",
"http://aims.fao.org/aos/agrovoc/c_2985","Florida",
"http://aims.fao.org/aos/agrovoc/c_35628","Entomopoxvirinae",
"http://aims.fao.org/aos/agrovoc/c_f78fdcbe","multipollutant mixtures",
"http://aims.fao.org/aos/agrovoc/c_13475","pods",
"http://aims.fao.org/aos/agrovoc/c_6232","Prosopis chilensis",
"http://aims.fao.org/aos/agrovoc/c_31822","Peziza",
"http://aims.fao.org/aos/agrovoc/c_910","biochemistry","""biological chemistry""@en"
"http://aims.fao.org/aos/agrovoc/c_330114","Patrinia",
"http://aims.fao.org/aos/agrovoc/c_46711","Alpheus digitalis",
"http://aims.fao.org/aos/agrovoc/c_5198","nitrogen phosphorus fertilizers",
"http://aims.fao.org/aos/agrovoc/c_49201","Spongia barbara",
"http://aims.fao.org/aos/agrovoc/c_16272","Parasilurus",
"http://aims.fao.org/aos/agrovoc/c_31601","Pyriculariopsis",
"http://aims.fao.org/aos/agrovoc/c_6517","resection",
"http://aims.fao.org/aos/agrovoc/c_351","ammonium compounds",
"http://aims.fao.org/aos/agrovoc/c_28673","economic recovery",
"http://aims.fao.org/aos/agrovoc/c_7a0d1ba7","Columba palumbus","""wood pigeons""@en"
"http://aims.fao.org/aos/agrovoc/c_28906","location theories",
"http://aims.fao.org/aos/agrovoc/c_7058","sieving","""sifting""@en"
"http://aims.fao.org/aos/agrovoc/c_d1bdb6ca","echinoderm culture",
"http://aims.fao.org/aos/agrovoc/c_a7008d5b","net protein utilization",
"http://aims.fao.org/aos/agrovoc/c_25710","liquid feed dispensers",
"http://aims.fao.org/aos/agrovoc/c_13618","protein requirements",
"http://aims.fao.org/aos/agrovoc/c_5847","phytosterols",
"http://aims.fao.org/aos/agrovoc/c_1546","child labour",
"http://aims.fao.org/aos/agrovoc/c_7512","sulphonamides","""sulfonamides""@en"
"http://aims.fao.org/aos/agrovoc/c_582b6de7","copper silicate",
"http://aims.fao.org/aos/agrovoc/c_732b8f9e","autotrophy",
"http://aims.fao.org/aos/agrovoc/c_50077","Estere River",
"http://aims.fao.org/aos/agrovoc/c_061ccfc0","Allium nigrum",
"http://aims.fao.org/aos/agrovoc/c_30570","Oestrus ovis","""sheep botfly""@en"
"http://aims.fao.org/aos/agrovoc/c_a170710c","Menz sheep",
"http://aims.fao.org/aos/agrovoc/c_49d13614","Beta macrorhiza",
"http://aims.fao.org/aos/agrovoc/c_42951","Nemipterus virgatus",
"http://aims.fao.org/aos/agrovoc/c_39098","Opisthonema medirastre",
"http://aims.fao.org/aos/agrovoc/c_33879","Shorea contorta",
"http://aims.fao.org/aos/agrovoc/c_4953","motivation",
"http://aims.fao.org/aos/agrovoc/c_27990","plant tissues",
"http://aims.fao.org/aos/agrovoc/c_48947","Mesoplodon stejnegeri",
"http://aims.fao.org/aos/agrovoc/c_39462","Umbra krameri",
"http://aims.fao.org/aos/agrovoc/c_44072","Eleginops maclovinus",
"http://aims.fao.org/aos/agrovoc/c_39833","Corynopoma riisei",
