concept,prefLabel,altLabels
http://www.eionet.europa.eu/gemet/concept/15078,biological diversity,
http://www.eionet.europa.eu/gemet/concept/15108,crop residue,
http://www.eionet.europa.eu/gemet/concept/15218,long-term transition,
http://www.eionet.europa.eu/gemet/concept/15189,good chemical status,
http://www.eionet.europa.eu/gemet/concept/15353,biota,
http://www.eionet.europa.eu/gemet/concept/15354,blue infrastructure,
http://www.eionet.europa.eu/gemet/concept/10024,information transfer,
http://www.eionet.europa.eu/gemet/concept/1007,bromine,
http://www.eionet.europa.eu/gemet/concept/10078,folk tradition,
http://www.eionet.europa.eu/gemet/concept/10089,pollutant evolution,
http://www.eionet.europa.eu/gemet/concept/10102,natural risk,
http://www.eionet.europa.eu/gemet/concept/10107,crisis management,
http://www.eionet.europa.eu/gemet/concept/10120,tax system,
http://www.eionet.europa.eu/gemet/concept/10133,environmental engineering,
http://www.eionet.europa.eu/gemet/concept/1014,brooding,
http://www.eionet.europa.eu/gemet/concept/10142,cove,
http://www.eionet.europa.eu/gemet/concept/10144,headland (geography),
http://www.eionet.europa.eu/gemet/concept/10146,geographic circque,
http://www.eionet.europa.eu/gemet/concept/10148,continent,
http://www.eionet.europa.eu/gemet/concept/10158,open sea,
http://www.eionet.europa.eu/gemet/concept/10176,relief (land),
http://www.eionet.europa.eu/gemet/concept/10193,abiotic environment,
http://www.eionet.europa.eu/gemet/concept/10210,central park area,
http://www.eionet.europa.eu/gemet/concept/10214,peripheral park area,
http://www.eionet.europa.eu/gemet/concept/10217,bocage,
http://www.eionet.europa.eu/gemet/concept/10255,environmental citizenship,
http://www.eionet.europa.eu/gemet/concept/10260,sponsorship,
http://www.eionet.europa.eu/gemet/concept/1028,bug,
http://www.eionet.europa.eu/gemet/concept/10381,felid,
http://www.eionet.europa.eu/gemet/concept/10444,ovine,
http://www.eionet.europa.eu/gemet/concept/105,administrative fiat,
http://www.eionet.europa.eu/gemet/concept/10535,nesting,
http://www.eionet.europa.eu/gemet/concept/10539,animal population,
http://www.eionet.europa.eu/gemet/concept/10562,endemic species,
http://www.eionet.europa.eu/gemet/concept/10575,macrophyte,
http://www.eionet.europa.eu/gemet/concept/10605,chestnut,
http://www.eionet.europa.eu/gemet/concept/10617,posidonia,
http://www.eionet.europa.eu/gemet/concept/10633,plant population,
http://www.eionet.europa.eu/gemet/concept/10644,chorology,
http://www.eionet.europa.eu/gemet/concept/10646,variety collection,
http://www.eionet.europa.eu/gemet/concept/1067,bulb cultivation,
http://www.eionet.europa.eu/gemet/concept/10691,pruning,
http://www.eionet.europa.eu/gemet/concept/10699,maquis,
http://www.eionet.europa.eu/gemet/concept/107,administrative jurisdiction,
http://www.eionet.europa.eu/gemet/concept/10726,big game,
http://www.eionet.europa.eu/gemet/concept/1075,bureaucratisation,
http://www.eionet.europa.eu/gemet/concept/10767,socioeducational activity,
http://www.eionet.europa.eu/gemet/concept/10773,competitive examination,
http://www.eionet.europa.eu/gemet/concept/10778,continuing education,
http://www.eionet.europa.eu/gemet/concept/10780,initial training,
http://www.eionet.europa.eu/gemet/concept/10818,environmental occupation,
http://www.eionet.europa.eu/gemet/concept/10891,folklore,
http://www.eionet.europa.eu/gemet/concept/10904,public,
http://www.eionet.europa.eu/gemet/concept/1091,butterfly,
http://www.eionet.europa.eu/gemet/concept/10918,population density,
http://www.eionet.europa.eu/gemet/concept/10922,active population,
http://www.eionet.europa.eu/gemet/concept/10925,time allocation,
http://www.eionet.europa.eu/gemet/concept/10927,durable goods,
http://www.eionet.europa.eu/gemet/concept/10929,non-durable goods,
http://www.eionet.europa.eu/gemet/concept/1093,by-catch,
http://www.eionet.europa.eu/gemet/concept/10932,time budget,
http://www.eionet.europa.eu/gemet/concept/10935,product life cycle,
http://www.eionet.europa.eu/gemet/concept/10939,living standard,
http://www.eionet.europa.eu/gemet/concept/10960,social inequality,
http://www.eionet.europa.eu/gemet/concept/10964,myth,
http://www.eionet.europa.eu/gemet/concept/10972,social representation,
http://www.eionet.europa.eu/gemet/concept/10980,access to administrative documents,
http://www.eionet.europa.eu/gemet/concept/10985,territorial government,
http://www.eionet.europa.eu/gemet/concept/10986,decision making support,
http://www.eionet.europa.eu/gemet/concept/10988,minister competence,
http://www.eionet.europa.eu/gemet/concept/10991,citizen,
http://www.eionet.europa.eu/gemet/concept/10992,local government,
http://www.eionet.europa.eu/gemet/concept/10999,parliamentary debate,
http://www.eionet.europa.eu/gemet/concept/11007,motivation of administrative acts,
http://www.eionet.europa.eu/gemet/concept/11018,subsidiary principle,
http://www.eionet.europa.eu/gemet/concept/1103,caesium,
http://www.eionet.europa.eu/gemet/concept/11030,financial aid,
http://www.eionet.europa.eu/gemet/concept/11035,satellite account,
