concept,prefLabel
http://w3id.org/glosis/model/layerhorizon/aluminiumProperty,aluminium
http://w3id.org/glosis/model/layerhorizon/biologicalAbundanceProperty,biological abundance
http://w3id.org/glosis/model/layerhorizon/biologicalFeaturesProperty,biological features
http://w3id.org/glosis/model/layerhorizon/boundaryDistinctnessProperty,boundary distinctness
http://w3id.org/glosis/model/layerhorizon/boundaryTopographyProperty,boundary topography
http://w3id.org/glosis/model/layerhorizon/bulkDensityFineEarthProperty,bulk density fine earth
http://w3id.org/glosis/model/layerhorizon/bulkDensityMineralProperty,bulk density mineral
http://w3id.org/glosis/model/layerhorizon/bulkDensityPeatProperty,bulk density peat
http://w3id.org/glosis/model/layerhorizon/bulkDensityWholeSoilProperty,bulk density whole soil
http://w3id.org/glosis/model/layerhorizon/cadmiumProperty,cadmium
http://w3id.org/glosis/model/layerhorizon/carbonInorganicProperty,carbon inorganic
http://w3id.org/glosis/model/layerhorizon/carbonatesContentProperty,carbonates content
http://w3id.org/glosis/model/layerhorizon/carbonatesFormsProperty,carbonates forms
http://w3id.org/glosis/model/layerhorizon/cationExchangeCapacityEffectiveProperty,cation exchange capacity effective
http://w3id.org/glosis/model/layerhorizon/cationExchangeCapacityProperty,cation exchange capacity
http://w3id.org/glosis/model/layerhorizon/cationExchangeCapacitycSoilProperty,cation exchange capacityc soil
http://w3id.org/glosis/model/layerhorizon/cationsSumProperty,cations sum
http://w3id.org/glosis/model/layerhorizon/cementationContinuityProperty,cementation continuity
http://w3id.org/glosis/model/layerhorizon/cementationDegreeProperty,cementation degree
http://w3id.org/glosis/model/layerhorizon/cementationFabricProperty,cementation fabric
http://w3id.org/glosis/model/layerhorizon/cementationNatureProperty,cementation nature
http://w3id.org/glosis/model/layerhorizon/coatingAbundanceProperty,coating abundance
http://w3id.org/glosis/model/layerhorizon/coatingContrastProperty,coating contrast
http://w3id.org/glosis/model/layerhorizon/coatingFormProperty,coating form
http://w3id.org/glosis/model/layerhorizon/coatingLocationProperty,coating location
http://w3id.org/glosis/model/layerhorizon/coatingNatureProperty,coating nature
http://w3id.org/glosis/model/layerhorizon/consistenceDryProperty,consistence dry
http://w3id.org/glosis/model/layerhorizon/consistenceMoistProperty,consistence moist
http://w3id.org/glosis/model/layerhorizon/dryConsistencyProperty,dry consistency
http://w3id.org/glosis/model/layerhorizon/effectiveCecProperty,effective cec
http://w3id.org/glosis/model/layerhorizon/electricalConductivityProperty,electrical conductivity
http://w3id.org/glosis/model/layerhorizon/fragmentsClassProperty,fragments class
http://w3id.org/glosis/model/layerhorizon/gypsumContentProperty,gypsum content
http://w3id.org/glosis/model/layerhorizon/gypsumFormsProperty,gypsum forms
http://w3id.org/glosis/model/layerhorizon/gypsumProperty,gypsum
http://w3id.org/glosis/model/layerhorizon/gypsumWeightProperty,gypsum weight
http://w3id.org/glosis/model/layerhorizon/hydraulicConductivityProperty,hydraulic conductivity
http://w3id.org/glosis/model/layerhorizon/manganeseProperty,manganese
http://w3id.org/glosis/model/layerhorizon/mineralConcAbundanceProperty,mineral conc abundance
http://w3id.org/glosis/model/layerhorizon/mineralConcColourProperty,mineral conc colour
http://w3id.org/glosis/model/layerhorizon/mineralConcHardnessProperty,mineral conc hardness
http://w3id.org/glosis/model/layerhorizon/mineralConcKindProperty,mineral conc kind
http://w3id.org/glosis/model/layerhorizon/mineralConcNatureProperty,mineral conc nature
http://w3id.org/glosis/model/layerhorizon/mineralConcShapeProperty,mineral conc shape
http://w3id.org/glosis/model/layerhorizon/mineralConcSizeProperty,mineral conc sizee
http://w3id.org/glosis/model/layerhorizon/mineralConcVolumeProperty,mineral conc volume
http://w3id.org/glosis/model/layerhorizon/mineralContentProperty,mineral content
http://w3id.org/glosis/model/layerhorizon/mineralFragmentsProperty,mineral fragments
http://w3id.org/glosis/model/layerhorizon/moistConsistencyProperty,moist consistency
http://w3id.org/glosis/model/layerhorizon/moistureContentProperty,moisture content
http://w3id.org/glosis/model/layerhorizon/molybdenumProperty,molybdenum
http://w3id.org/glosis/model/layerhorizon/mottlesAbundanceProperty,mottles abundance
http://w3id.org/glosis/model/layerhorizon/mottlesBoundaryClassificationProperty,mottles boundary classification
http://w3id.org/glosis/model/layerhorizon/mottlesColourProperty,mottles colour
http://w3id.org/glosis/model/layerhorizon/mottlesContrastProperty,mottles contrast
http://w3id.org/glosis/model/layerhorizon/mottlesPresenceProperty,mottles presence
http://w3id.org/glosis/model/layerhorizon/mottlesSizeProperty,mottles size
http://w3id.org/glosis/model/layerhorizon/organicMatterProperty,organic matter
http://w3id.org/glosis/model/layerhorizon/oxalateExtractableOpticalDensityProperty,oxalate extractable optical density
http://w3id.org/glosis/model/layerhorizon/particleSizeFractionsSumProperty,particle size fractions sum
http://w3id.org/glosis/model/layerhorizon/peatDecompostionProperty,peat decompostion
http://w3id.org/glosis/model/layerhorizon/peatDrainageProperty,peat drainage
http://w3id.org/glosis/model/layerhorizon/peatVolumeProperty,peat volume
http://w3id.org/glosis/model/layerhorizon/plasticityProperty,plasticity
http://w3id.org/glosis/model/layerhorizon/poresAbundanceProperty,pores abundance
http://w3id.org/glosis/model/layerhorizon/poresSizeProperty,pores size
