concept,prefLabel,altLabels
http://opendata.inrae.fr/thesaurusINRAE/c_0015b5e0,equational division,meiosis II
http://opendata.inrae.fr/thesaurusINRAE/c_002202eb,LoRaWAN® network server,
http://opendata.inrae.fr/thesaurusINRAE/c_0163b64c,canning,
http://opendata.inrae.fr/thesaurusINRAE/c_023532ad,reduction division,meiosis I;reductional division
http://opendata.inrae.fr/thesaurusINRAE/c_02fbc4ef,CSS,
http://opendata.inrae.fr/thesaurusINRAE/c_031f1e78,cross-flow ultrafiltration,
http://opendata.inrae.fr/thesaurusINRAE/c_03540973,composting of household waste,
http://opendata.inrae.fr/thesaurusINRAE/c_03612d22,,
http://opendata.inrae.fr/thesaurusINRAE/c_044def28,nursing home,longterm nursing care;retirement home with nursing care
http://opendata.inrae.fr/thesaurusINRAE/c_05bc8a81,soil bioengineering,
http://opendata.inrae.fr/thesaurusINRAE/c_064c8a07,chemical castration,
http://opendata.inrae.fr/thesaurusINRAE/c_071d3c38,permanent dentition,
http://opendata.inrae.fr/thesaurusINRAE/c_081b4c3c,ice machine,ice generator;icemaker
http://opendata.inrae.fr/thesaurusINRAE/c_082e162a,,
http://opendata.inrae.fr/thesaurusINRAE/c_084f0761,wastewater recycling,
http://opendata.inrae.fr/thesaurusINRAE/c_089cd51b,swimming behaviour,swimming behavior
http://opendata.inrae.fr/thesaurusINRAE/c_08aa42d5,cyclophosphamide,
http://opendata.inrae.fr/thesaurusINRAE/c_08ce7c0f,sexual activity,
http://opendata.inrae.fr/thesaurusINRAE/c_09136b1c,Trichogramma evanescens,
http://opendata.inrae.fr/thesaurusINRAE/c_0a2404fa,dimethyl sulfide,methyl sulfide;methyl sulphide
http://opendata.inrae.fr/thesaurusINRAE/c_0b1d795d,xylene,
http://opendata.inrae.fr/thesaurusINRAE/c_0b61eb6f,spatial learning,
http://opendata.inrae.fr/thesaurusINRAE/c_0c22ffcf,digital surface model,DSM
http://opendata.inrae.fr/thesaurusINRAE/c_0c68a031,somatic hybridization,somatic fusion
http://opendata.inrae.fr/thesaurusINRAE/c_0c853335,cooked sausage,
http://opendata.inrae.fr/thesaurusINRAE/c_0d082ac3,environment code,
http://opendata.inrae.fr/thesaurusINRAE/c_0de06154,press article,newspaper article;press release
http://opendata.inrae.fr/thesaurusINRAE/c_0e196375,slurry treatment,slurry processing
http://opendata.inrae.fr/thesaurusINRAE/c_0e1ef0cf,Camelina sativa,gold of pleasure;gold-of-pleasure;large-seeded false flax
http://opendata.inrae.fr/thesaurusINRAE/c_0e80cb50,insulated container,
http://opendata.inrae.fr/thesaurusINRAE/c_0f2a693c,continental climate,
http://opendata.inrae.fr/thesaurusINRAE/c_0f5f8b40,primary packaging,
http://opendata.inrae.fr/thesaurusINRAE/c_0fffaf50,functional connectivity,
http://opendata.inrae.fr/thesaurusINRAE/c_10005,green tea,
http://opendata.inrae.fr/thesaurusINRAE/c_10006,heated wine,
http://opendata.inrae.fr/thesaurusINRAE/c_10009,food packaging material,food-grade packaging
http://opendata.inrae.fr/thesaurusINRAE/c_10012,pea flour,
http://opendata.inrae.fr/thesaurusINRAE/c_10013,biosourced packaging,sustainable packaging
http://opendata.inrae.fr/thesaurusINRAE/c_10015,,
http://opendata.inrae.fr/thesaurusINRAE/c_10019,microsieving,
http://opendata.inrae.fr/thesaurusINRAE/c_10021,grape juice,
http://opendata.inrae.fr/thesaurusINRAE/c_10022,pasteurized milk,
http://opendata.inrae.fr/thesaurusINRAE/c_10026,fatty foodstuff,high-fat food
http://opendata.inrae.fr/thesaurusINRAE/c_10028,waste recovery,organic waste management;organic waste recovery
http://opendata.inrae.fr/thesaurusINRAE/c_10038,biomethane,
http://opendata.inrae.fr/thesaurusINRAE/c_10041,polymeric matrix,
http://opendata.inrae.fr/thesaurusINRAE/c_10045,active dry yeast,
http://opendata.inrae.fr/thesaurusINRAE/c_10046,nanocomposite material,nanocomposite
http://opendata.inrae.fr/thesaurusINRAE/c_10048,plant antioxidant,vegetable antioxidant
http://opendata.inrae.fr/thesaurusINRAE/c_10057,concentrated food,
http://opendata.inrae.fr/thesaurusINRAE/c_10063,sugar beet pulp,
http://opendata.inrae.fr/thesaurusINRAE/c_10068,offal,organ meat
http://opendata.inrae.fr/thesaurusINRAE/c_10070,French production,
http://opendata.inrae.fr/thesaurusINRAE/c_10071,grain protein,
http://opendata.inrae.fr/thesaurusINRAE/c_10076,lower alcohol wine,
http://opendata.inrae.fr/thesaurusINRAE/c_10078,virgin olive oil,
http://opendata.inrae.fr/thesaurusINRAE/c_10081,functional food,
http://opendata.inrae.fr/thesaurusINRAE/c_10086,tomato juice,
http://opendata.inrae.fr/thesaurusINRAE/c_10090,cognac (brandy),
http://opendata.inrae.fr/thesaurusINRAE/c_10094,emulsifier,
http://opendata.inrae.fr/thesaurusINRAE/c_10097,valorization for agricultural purposes,
http://opendata.inrae.fr/thesaurusINRAE/c_1011,subtropics,subtropical region;subtropical zone
http://opendata.inrae.fr/thesaurusINRAE/c_10110,dry white wine,
http://opendata.inrae.fr/thesaurusINRAE/c_10116,food waste recovery,food waste management;food waste recycling
http://opendata.inrae.fr/thesaurusINRAE/c_10122,thermal denaturation,
http://opendata.inrae.fr/thesaurusINRAE/c_10130,particle-surface interaction,
http://opendata.inrae.fr/thesaurusINRAE/c_10136,,
http://opendata.inrae.fr/thesaurusINRAE/c_10137,potato protein,
http://opendata.inrae.fr/thesaurusINRAE/c_10148,meat meal,
http://opendata.inrae.fr/thesaurusINRAE/c_10153,damp cold,wet cold
http://opendata.inrae.fr/thesaurusINRAE/c_10156,bitterness,
http://opendata.inrae.fr/thesaurusINRAE/c_10157,complexing,
http://opendata.inrae.fr/thesaurusINRAE/c_10163,fresh prepared food,
http://opendata.inrae.fr/thesaurusINRAE/c_10175,oil quality,quality of oil
http://opendata.inrae.fr/thesaurusINRAE/c_10184,multiple strain starter,
http://opendata.inrae.fr/thesaurusINRAE/c_10188,guar gum,
http://opendata.inrae.fr/thesaurusINRAE/c_10191,modified protein,
http://opendata.inrae.fr/thesaurusINRAE/c_10193,microbial fermentation,
http://opendata.inrae.fr/thesaurusINRAE/c_10197,depolymerization,
http://opendata.inrae.fr/thesaurusINRAE/c_10200,meat cutting,cutting of meat;cutting up meat;cutting up of meat
http://opendata.inrae.fr/thesaurusINRAE/c_10207,appertization,
http://opendata.inrae.fr/thesaurusINRAE/c_10212,,
http://opendata.inrae.fr/thesaurusINRAE/c_10217,prepared food,ready-to-eat food
http://opendata.inrae.fr/thesaurusINRAE/c_10222,biodiesel,
http://opendata.inrae.fr/thesaurusINRAE/c_10223,sweetened drink,
http://opendata.inrae.fr/thesaurusINRAE/c_10230,foodstuffs insect,
http://opendata.inrae.fr/thesaurusINRAE/c_10232,pressing,pressure extraction
http://opendata.inrae.fr/thesaurusINRAE/c_10236,tomato puree,
http://opendata.inrae.fr/thesaurusINRAE/c_10237,turkey meat,
http://opendata.inrae.fr/thesaurusINRAE/c_1024,,
http://opendata.inrae.fr/thesaurusINRAE/c_10242,,
http://opendata.inrae.fr/thesaurusINRAE/c_10243,infant feeding,
http://opendata.inrae.fr/thesaurusINRAE/c_10244,bipolar membrane,
http://opendata.inrae.fr/thesaurusINRAE/c_10246,wheat flour,
http://opendata.inrae.fr/thesaurusINRAE/c_10249,micro-winemaking,micro wine-making;microvinification
http://opendata.inrae.fr/thesaurusINRAE/c_10252,fruit texture,
http://opendata.inrae.fr/thesaurusINRAE/c_10253,refrigerating machine,cooling machine;refrigeration machine
