prop,inverse
http://www.w3.org/2004/02/skos/core#broader,http://www.w3.org/2004/02/skos/core#narrower
http://www.w3.org/2004/02/skos/core#related,http://www.w3.org/2004/02/skos/core#related
http://aims.fao.org/aos/agrontology#isComposedOf,http://aims.fao.org/aos/agrontology#compose
http://aims.fao.org/aos/agrontology#isPartOf,http://aims.fao.org/aos/agrontology#hasPart
http://aims.fao.org/aos/agrontology#includes,http://aims.fao.org/aos/agrontology#isIncludedIn
http://aims.fao.org/aos/agrontology#affects,http://aims.fao.org/aos/agrontology#isAffectedBy
http://aims.fao.org/aos/agrontology#measures,http://aims.fao.org/aos/agrontology#isMeasuredBy
http://aims.fao.org/aos/agrontology#benefitsFrom,http://aims.fao.org/aos/agrontology#isBeneficialFor
http://aims.fao.org/aos/agrontology#isPreventedBy,http://aims.fao.org/aos/agrontology#prevents
http://aims.fao.org/aos/agrontology#isMadeFrom,http://aims.fao.org/aos/agrontology#isUsedToMake
http://aims.fao.org/aos/agrontology#causes,http://aims.fao.org/aos/agrontology#isCausedBy
http://aims.fao.org/aos/agrontology#makeUseOf,http://aims.fao.org/aos/agrontology#isUsedIn
http://aims.fao.org/aos/agrontology#isProcessFor,http://aims.fao.org/aos/agrontology#usesProcess
http://aims.fao.org/aos/agrontology#follows,http://aims.fao.org/aos/agrontology#precedes
http://aims.fao.org/aos/agrontology#isUsedAs,http://aims.fao.org/aos/agrontology#isUseOf
http://aims.fao.org/aos/agrontology#performs,http://aims.fao.org/aos/agrontology#isPerformedBy
http://aims.fao.org/aos/agrontology#isDerivedFrom,http://aims.fao.org/aos/agrontology#isSourceOf
http://purl.obolibrary.org/obo/RO_0002212,http://purl.obolibrary.org/obo/RO_0002335
https://soilwise-he.github.io/soil-health#alters,https://soilwise-he.github.io/soil-health#isAlteredBy
https://soilwise-he.github.io/soil-health#isIndicatedBy,https://soilwise-he.github.io/soil-health#indicates
http://purl.obolibrary.org/obo/OAE_0000025,http://purl.obolibrary.org/obo/OAE_0000186
http://purl.obolibrary.org/obo/RO_0002327,http://purl.obolibrary.org/obo/RO_0002333
http://purl.allotrope.org/ontologies/property#AFX_0001154,http://purl.allotrope.org/ontologies/property#AFX_0002806
http://www.wikidata.org/prop/direct/P1889,http://www.wikidata.org/prop/direct/P1889
https://soilwise-he.github.io/soil-health#characterizes,https://soilwise-he.github.io/soil-health#isCharacterizedBy
http://purl.obolibrary.org/obo/RO_0002213,http://purl.obolibrary.org/obo/RO_0002336
http://purl.obolibrary.org/obo/INO_0000082,http://sweetontology.net/relaProvenance/wasControlledBy
https://w3id.org/biolink/vocab/consumed_by,https://w3id.org/biolink/vocab/consumes
http://semanticscience.org/resource/equivalentTo,http://semanticscience.org/resource/equivalentTo
https://soilwise-he.github.io/soil-health#requires,https://soilwise-he.github.io/soil-health#isRequiredBy
http://semanticscience.org/resource/SIO_000563,http://semanticscience.org/resource/SIO_000557
http://semanticscience.org/resource/SIO_000202,http://semanticscience.org/resource/SIO_000128
http://purl.allotrope.org/ontologies/property#AFX_0000408,http://purl.allotrope.org/ontologies/property#AFX_0000355
https://soilwise-he.github.io/soil-health#isConvertedTo,https://soilwise-he.github.io/soil-health#isConvertedFrom
http://www.bioassayontology.org/bao#BAO_0095002,http://www.bioassayontology.org/bao#BAO_0002586
http://semanticscience.org/resource/SIO_000635,http://semanticscience.org/resource/SIO_000636
https://soilwise-he.github.io/soil-health#isAcceptedBy,https://soilwise-he.github.io/soil-health#accepts
http://aims.fao.org/aos/agrontology#smallerThan,http://aims.fao.org/aos/agrontology#greaterThan
https://soilwise-he.github.io/soil-health#hasEquilibriumWith,https://soilwise-he.github.io/soil-health#hasEquilibriumWith
https://soilwise-he.github.io/soil-health#isLimitedBy,https://soilwise-he.github.io/soil-health#limits
http://aims.fao.org/aos/agrontology#isComponentOf,http://aims.fao.org/aos/agrontology#hasComponent
http://purl.obolibrary.org/obo/RO_0002434,http://purl.obolibrary.org/obo/RO_0002434
https://soilwise-he.github.io/soil-health#isRetainedBy,https://soilwise-he.github.io/soil-health#retains
https://soilwise-he.github.io/soil-health#reflects,https://soilwise-he.github.io/soil-health#isReflectedBy
http://semanticscience.org/resource/SIO_000205,http://semanticscience.org/resource/SIO_000210
http://purl.obolibrary.org/obo/RO_0000053,http://purl.obolibrary.org/obo/RO_0000052
http://semanticscience.org/resource/SIO_000223,http://semanticscience.org/resource/SIO_000224
http://semanticscience.org/resource/SIO_000291,http://semanticscience.org/resource/SIO_000292
http://purl.allotrope.org/ontologies/property#AFX_0002843,http://purl.allotrope.org/ontologies/property#AFX_0002842
http://semanticscience.org/resource/SIO_000364,http://semanticscience.org/resource/SIO_000365
http://purl.allotrope.org/ontologies/property#AFX_0002716,http://purl.allotrope.org/ontologies/property#AFX_0002717
https://soilwise-he.github.io/soil-health#calculates,https://soilwise-he.github.io/soil-health#isCalculatedBy
http://semanticscience.org/resource/SIO_000066,http://semanticscience.org/resource/SIO_000064
http://aims.fao.org/aos/agrontology#isPropertyOf,http://aims.fao.org/aos/agrontology#hasProperty
http://aims.fao.org/aos/agrontology#hasTaxonomicConcept,http://aims.fao.org/aos/agrontology#hasCommonNameConcept
